fold,train_start,train_end,test_start,test_end,train_n,test_n,train_pf,test_pf,test_expectancy,test_win_rate,test_total_pnl,oos_pf_ratio
1,2016-06-06,2020-06-29,2020-07-04,2020-10-02,1021,63,335578.7460661964,inf,2976.8284350198414,1.0,187540.19140625,inf
2,2016-06-06,2020-10-02,2020-10-07,2021-01-05,1088,61,390885.3559413999,inf,2194.8228099385246,1.0,133884.19140625,inf
3,2016-06-06,2021-01-05,2021-01-10,2021-04-10,1152,62,431930.97395550733,inf,3132.1097530241937,1.0,194190.8046875,inf
4,2016-06-06,2021-04-10,2021-04-15,2021-07-14,1218,62,489954.715680955,inf,2018.9097782258063,1.0,125172.40625,inf
5,2016-06-06,2021-07-14,2021-07-19,2021-10-17,1283,64,526609.083559414,inf,1875.9937744140625,1.0,120063.6015625,inf
