symbol,total_weighted,count,norm_score,last_date
NFLX,1.0,1,1.0,2026-06-04T15:23:17.686371
SPX,1.0,1,1.0,2026-06-04T15:23:18.186940
SPCX,0.0,1,0.0,2026-06-04T15:23:17.185509
IPO,0.0,1,0.0,2026-06-04T15:23:17.185509
USD,0.0,1,0.0,2026-06-04T15:23:18.687615
BTC,0.0,1,0.0,2026-06-04T15:23:18.687615
MARKET,0.0,1,0.0,2026-06-04T15:23:16.684906
