date,open,high,low,close,adj_close,volume
2020-01-02,8776.75,8901.5,8769.5,8891.75,8891.75,416640.0
2020-01-03,8895.5,8907.25,8735.25,8810.0,8810.0,599890.0
2020-01-06,8772.25,8873.0,8723.0,8847.5,8847.5,469510.0
2020-01-07,8853.25,8894.75,8825.75,8853.0,8853.0,510000.0
2020-01-08,8841.5,8972.25,8678.0,8944.5,8944.5,723090.0
2020-01-09,8948.75,9022.25,8932.5,9009.0,9009.0,457260.0
2020-01-10,9010.0,9055.5,8966.25,8978.25,8978.25,472170.0
2020-01-13,8979.0,9095.5,8979.0,9088.25,9088.25,380440.0
2020-01-14,9087.75,9114.75,9035.0,9062.5,9062.5,553340.0
2020-01-15,9062.0,9096.0,9023.0,9060.0,9060.0,497100.0
2020-01-16,9061.75,9140.25,9061.5,9133.5,9133.5,397880.0
2020-01-17,9137.0,9189.25,9130.0,9174.5,9174.5,438670.0
2020-01-21,9174.0,9199.75,9114.75,9169.75,9169.75,532160.0
2020-01-22,9179.5,9254.0,9174.25,9195.75,9195.75,519020.0
2020-01-23,9190.0,9253.5,9151.75,9248.25,9248.25,616950.0
2020-01-24,9252.0,9287.25,9109.5,9144.5,9144.5,758800.0
2020-01-27,9077.0,9077.0,8925.5,8954.5,8954.5,792710.0
2020-01-28,8952.5,9136.25,8952.5,9105.25,9105.25,632550.0
2020-01-29,9119.5,9158.75,9072.25,9098.5,9098.5,578410.0
2020-01-30,9111.25,9240.0,9003.5,9216.25,9216.25,846590.0
2020-01-31,9226.5,9248.75,8966.0,8997.75,8997.75,898380.0
2020-02-03,8982.75,9155.75,8975.0,9114.25,9114.25,680730.0
2020-02-04,9099.0,9369.25,9073.0,9355.0,9355.0,563910.0
2020-02-05,9357.0,9462.75,9317.75,9381.5,9381.5,729550.0
2020-02-06,9390.0,9464.0,9362.5,9455.5,9455.5,545050.0
2020-02-07,9467.0,9471.0,9385.0,9409.5,9409.5,592700.0
2020-02-10,9401.5,9531.5,9330.75,9527.5,9527.5,500150.0
2020-02-11,9525.0,9609.5,9501.25,9527.25,9527.25,589570.0
2020-02-12,9536.25,9628.25,9523.75,9625.75,9625.75,454470.0
2020-02-13,9621.5,9644.75,9511.25,9613.0,9613.0,613580.0
2020-02-14,9626.25,9659.25,9588.0,9632.25,9632.25,489390.0
2020-02-18,9635.0,9687.5,9534.25,9636.0,9636.0,668510.0
2020-02-19,9643.25,9748.75,9641.25,9733.5,9733.5,419130.0
2020-02-20,9744.75,9763.0,9517.0,9624.25,9624.25,802420.0
2020-02-21,9617.25,9623.75,9411.5,9458.0,9458.0,911840.0
2020-02-24,9355.25,9365.0,9041.25,9091.0,9091.0,1170000.0
2020-02-25,9091.0,9224.25,8810.0,8854.25,8854.25,1340000.0
2020-02-26,8868.25,9037.5,8709.5,8850.25,8850.25,1250000.0
2020-02-27,8811.5,8878.5,8334.25,8382.75,8382.75,1580000.0
2020-02-28,8347.0,8574.75,8126.25,8454.0,8454.0,1530000.0
2020-03-02,8349.25,8883.25,8224.25,8791.25,8791.25,1370000.0
2020-03-03,8830.5,9002.5,8511.0,8582.5,8582.5,1300000.0
2020-03-04,8557.5,8950.0,8508.25,8896.5,8896.5,939030.0
2020-03-05,8889.0,8899.75,8610.75,8648.75,8648.75,954100.0
2020-03-06,8677.0,8726.5,8310.5,8503.25,8503.25,1100000.0
2020-03-09,8369.0,8375.0,7820.0,7951.5,7951.5,560910.0
2020-03-10,7893.75,8378.75,7814.25,8331.5,8331.5,982070.0
2020-03-11,8317.0,8334.25,7892.75,8003.5,8003.5,990240.0
2020-03-12,7998.75,8108.0,7128.5,7215.25,7215.25,876290.0
2020-03-13,7100.0,7978.0,6942.5,7915.75,7915.75,584270.0
2020-03-16,7903.0,7905.25,6927.0,7057.5,7057.5,307370.0
2020-03-17,7053.0,7552.25,6948.75,7405.25,7405.25,317500.0
2020-03-18,7386.0,7392.25,6830.0,7225.25,7225.25,156280.0
2020-03-19,7251.75,7521.5,6894.25,7293.5,7293.5,115520.0
2020-03-20,7195.0,7649.0,7153.5,7418.0,7418.0,11670.0
2020-03-23,6798.0,7316.25,6628.75,6984.5,6984.5,633240.0
2020-03-24,7005.75,7572.25,7005.75,7554.75,7554.75,556550.0
2020-03-25,7544.75,7761.0,7371.5,7467.75,7467.75,656700.0
2020-03-26,7483.5,7893.5,7310.25,7844.0,7844.0,567710.0
2020-03-27,7882.75,7893.25,7551.25,7568.5,7568.5,443320.0
2020-03-30,7395.75,7884.0,7365.0,7854.75,7854.75,419580.0
2020-03-31,7856.75,7995.0,7747.5,7786.25,7786.25,424390.0
2020-04-01,7772.5,7773.5,7404.25,7438.75,7438.75,411360.0
2020-04-02,7473.5,7656.25,7376.0,7627.25,7627.25,436830.0
2020-04-03,7623.0,7660.25,7423.5,7522.75,7522.75,351870.0
2020-04-06,7535.75,8099.0,7535.5,8029.75,8029.75,396870.0
2020-04-07,8034.25,8303.25,7948.0,8012.0,8012.0,531040.0
2020-04-08,8015.0,8242.0,7953.25,8189.75,8189.75,424380.0
2020-04-09,8195.25,8326.25,8101.75,8227.5,8227.5,522650.0
2020-04-13,8296.0,8338.75,8073.25,8327.25,8327.25,385070.0
2020-04-14,8337.0,8710.0,8319.0,8692.5,8692.5,431920.0
2020-04-15,8706.25,8707.5,8486.5,8594.0,8594.0,407750.0
2020-04-16,8576.0,8842.5,8500.5,8734.25,8734.25,539160.0
2020-04-17,8909.75,8966.75,8689.5,8809.0,8809.0,509560.0
2020-04-20,8799.5,8846.0,8687.0,8692.0,8692.0,427980.0
2020-04-21,8695.0,8763.0,8342.0,8431.75,8431.75,582450.0
2020-04-22,8447.0,8700.0,8400.0,8638.0,8638.0,373070.0
2020-04-23,8636.25,8786.5,8580.5,8598.75,8598.75,435110.0
2020-04-24,8588.25,8780.25,8498.25,8769.0,8769.0,380230.0
2020-04-27,8766.0,8898.0,8730.0,8824.25,8824.25,355550.0
2020-04-28,8819.0,8945.75,8654.5,8719.75,8719.75,440940.0
2020-04-29,8759.25,9118.75,8733.75,9036.5,9036.5,432410.0
2020-04-30,9109.5,9144.75,8856.5,8988.5,8988.5,462960.0
2020-05-01,8847.0,8879.0,8672.0,8718.0,8718.0,414560.0
2020-05-04,8624.0,8828.0,8556.25,8795.5,8795.5,381910.0
2020-05-05,8806.25,9020.0,8798.5,8924.25,8924.25,367230.0
2020-05-06,8928.5,9056.5,8877.75,8952.0,8952.0,414050.0
2020-05-07,8947.5,9126.0,8930.25,9107.75,9107.75,383880.0
2020-05-08,9115.0,9238.0,9103.25,9218.25,9218.25,362320.0
2020-05-11,9194.75,9339.0,9118.5,9279.0,9279.0,398140.0
2020-05-12,9282.0,9345.5,9040.5,9078.25,9078.25,500540.0
2020-05-13,9045.75,9202.75,8878.25,8992.25,8992.25,703290.0
2020-05-14,9012.75,9104.0,8847.0,9079.5,9079.5,639070.0
2020-05-15,9085.5,9148.5,8925.5,9096.5,9096.5,537250.0
2020-05-18,9135.0,9361.5,9110.25,9325.5,9325.5,398560.0
2020-05-19,9316.25,9417.25,9283.75,9300.75,9300.75,392500.0
2020-05-20,9289.75,9498.0,9273.0,9485.5,9485.5,369920.0
2020-05-21,9494.75,9510.75,9352.0,9355.75,9355.75,429220.0
2020-05-22,9360.5,9422.5,9241.5,9406.25,9406.25,365380.0
2020-05-26,9396.25,9604.0,9373.0,9406.5,9406.5,486550.0
2020-05-27,9409.0,9508.0,9172.5,9432.5,9432.5,560520.0
2020-05-28,9436.5,9565.5,9320.5,9460.25,9460.25,510620.0
2020-05-29,9453.5,9590.5,9372.0,9560.25,9560.25,529700.0
2020-06-01,9513.0,9605.75,9450.25,9595.0,9595.0,345590.0
2020-06-02,9590.0,9670.0,9504.75,9647.75,9647.75,389910.0
2020-06-03,9657.5,9728.25,9635.5,9684.75,9684.75,376690.0
2020-06-04,9685.5,9742.5,9572.25,9626.25,9626.25,462360.0
2020-06-05,9643.5,9846.25,9601.75,9808.5,9808.5,513659.99999999994
2020-06-08,9819.0,9901.0,9747.0,9884.75,9884.75,391650.0
2020-06-09,9887.25,10005.25,9811.5,9951.0,9951.0,437440.0
2020-06-10,9960.0,10155.5,9958.5,10087.25,10087.25,557710.0
2020-06-11,10086.25,10107.0,9584.5,9616.75,9616.75,828940.0
2020-06-12,9616.0,9849.25,9494.75,9645.0,9645.0,508840.0
2020-06-15,9536.75,9815.5,9381.75,9800.5,9800.5,319210.0
2020-06-16,9812.5,10013.75,9797.75,9972.5,9972.5,216310.0
2020-06-17,9961.75,10059.0,9927.0,9994.5,9994.5,100470.0
2020-06-18,9995.25,10040.75,9879.5,9995.75,9995.75,67460.0
2020-06-19,9997.25,10123.25,9997.25,10120.75,10120.75,4460.0
2020-06-22,9868.0,10134.5,9843.5,10124.75,10124.75,354770.0
2020-06-23,10121.5,10296.25,9972.25,10196.0,10196.0,406480.0
2020-06-24,10183.0,10242.0,9927.25,10010.75,10010.75,661650.0
2020-06-25,10005.25,10107.0,9885.5,10088.25,10088.25,514250.0
2020-06-26,10087.0,10120.5,9824.25,9865.5,9865.5,576150.0
2020-06-29,9785.5,9997.0,9728.75,9973.75,9973.75,479540.0
2020-06-30,9983.0,10171.5,9940.25,10147.25,10147.25,422350.0
2020-07-01,10141.0,10310.0,10076.0,10268.75,10268.75,402790.0
2020-07-02,10258.5,10422.25,10246.5,10355.75,10355.75,404760.0
2020-07-07,10600.0,10694.5,10505.75,10532.25,10532.25,465210.0
2020-07-08,10526.0,10673.0,10505.25,10662.25,10662.25,481020.0
2020-07-09,10674.25,10774.25,10560.0,10727.5,10727.5,607390.0
2020-07-10,10727.0,10847.5,10625.5,10837.25,10837.25,527570.0
2020-07-13,10848.25,11058.5,10561.5,10600.0,10600.0,736180.0
2020-07-14,10602.0,10693.0,10358.75,10646.25,10646.25,915010.0
2020-07-15,10706.0,10766.5,10551.25,10683.25,10683.25,719950.0
2020-07-16,10693.0,10698.25,10475.5,10511.75,10511.75,628900.0
2020-07-17,10532.25,10669.75,10523.75,10622.5,10622.5,443140.0
2020-07-20,10621.25,10964.5,10546.25,10951.0,10951.0,496400.0
2020-07-21,10952.25,11058.0,10784.75,10851.0,10851.0,587990.0
2020-07-22,10850.75,10916.25,10761.25,10804.25,10804.25,483850.0
