group_type,event_family,catalyst_category,surprise_side,market_bias_side,sample_size,raw_bullish_probability,bullish_probability,bearish_probability,raw_market_move_probability,market_move_probability,sample_confidence,confidence_label,avg_return_pts,median_return_pts,avg_return_pct,median_return_pct,avg_mfe_pts,avg_mae_pts,avg_abs_surprise,avg_market_bias_score,window_label
category_all,,labor,,,136,0.5514705882352942,0.55,0.44999999999999996,0.7941176470588235,0.7785714285714286,1.0,high,5.672794117647059,22.375,0.05628135329365014,0.09885882046043434,196.90808823529412,-208.6360294117647,52409.09090909091,0.0732020881595185,same_day_close
category_all,,growth,,,101,0.5346534653465347,0.5333333333333333,0.4666666666666667,0.8316831683168316,0.8095238095238095,1.0,high,-2.088045327970297,14.25,-0.005380524871767474,0.06922936782656221,184.73010133044554,-212.9134630259901,17667.481111111127,0.013861386138613858,same_day_close
category_all,,inflation,,,16,0.6875,0.65,0.35,0.6875,0.6,1.0,high,47.078125,32.5,0.24104083470038273,0.13006775985715485,196.640625,-191.921875,0.05625,0.0779255319148936,same_day_close
category_all,,other,,,15,0.6666666666666666,0.631578947368421,0.368421052631579,0.8,0.6842105263157895,1.0,high,11.316666666666666,38.5,-0.020294238608426104,0.21117296985985792,181.63333333333333,-182.75,48733.333333333336,0.0,same_day_close
category_all,,central_bank,,,12,0.5833333333333334,0.5625,0.4375,0.9166666666666666,0.75,1.0,high,34.041666666666664,55.875,0.16431243963446046,0.22041031995610744,240.95833333333334,-155.25,0.06818181818181818,0.16666666666666666,same_day_close
category_market_bias,,labor,,market_positive,65,0.5692307692307692,0.5652173913043478,0.4347826086956522,0.7692307692307693,0.7391304347826086,1.0,high,19.869230769230768,16.75,0.1440225881884789,0.08400366561449954,198.8923076923077,-204.4653846153846,48584.61538461538,0.6418979266347687,same_day_close
category_market_bias,,labor,,market_negative,53,0.5283018867924528,0.5263157894736842,0.4736842105263158,0.8301886792452831,0.7894736842105263,1.0,high,-3.193396226415094,28.0,-0.02730768674604308,0.12152481664676788,194.6933962264151,-214.50943396226415,53924.52830188679,-0.60662669009243,same_day_close
category_market_bias,,growth,,market_positive,44,0.5227272727272727,0.5208333333333334,0.47916666666666663,0.7954545454545454,0.75,1.0,high,14.256569602272727,1.0,0.06369459363378836,0.005273566249176006,190.64204545454547,-206.69886363636363,20682.68181818184,0.7,same_day_close
category_market_bias,,growth,,market_negative,42,0.5,0.5,0.5,0.8571428571428571,0.8043478260869565,1.0,high,-40.409784226190474,9.25,-0.18156466664564405,0.03597244615384782,170.17857142857142,-251.38690476190476,16191.316666666678,-0.7,same_day_close
category_market_bias,,growth,,market_neutral,15,0.6666666666666666,0.631578947368421,0.368421052631579,0.8666666666666667,0.7368421052631579,1.0,high,57.268619791666666,82.0,0.28531472447878997,0.44372894654960154,208.13268229166667,-123.41731770833333,0.0,0.0,same_day_close
category_market_bias,,other,,market_neutral,15,0.6666666666666666,0.631578947368421,0.368421052631579,0.8,0.6842105263157895,1.0,high,11.316666666666666,38.5,-0.020294238608426104,0.21117296985985792,181.63333333333333,-182.75,48733.333333333336,0.0,same_day_close
category_market_bias,,labor,,market_mixed,12,0.75,0.6875,0.3125,0.8333333333333334,0.6875,1.0,high,70.83333333333333,105.375,0.37453455058592255,0.48897356080052257,213.16666666666666,-139.6875,75166.66666666667,0.03194444444444444,same_day_close
category_market_bias,,central_bank,,market_neutral,10,0.7,0.6428571428571429,0.3571428571428571,0.9,0.7142857142857143,0.8333333333333334,high,56.0,91.125,0.2687983271303086,0.3488427823495618,264.225,-147.45,0.0,0.0,same_day_close
