date,open,high,low,close,adj_close,volume
2026-03-26 04:00:00,24368.0,24377.5,24365.25,24366.75,24366.75,285
2026-03-26 04:15:00,24366.5,24372.25,24354.0,24361.5,24361.5,594
2026-03-26 04:30:00,24363.5,24367.25,24350.0,24353.0,24353.0,577
2026-03-26 04:45:00,24353.0,24355.5,24317.0,24324.75,24324.75,972
2026-03-26 05:00:00,24326.0,24340.25,24288.75,24301.75,24301.75,1413
2026-03-26 05:15:00,24303.5,24307.0,24260.5,24277.0,24277.0,2131
2026-03-26 05:30:00,24278.0,24294.25,24268.25,24273.75,24273.75,1290
2026-03-26 05:45:00,24273.0,24277.5,24251.0,24255.5,24255.5,1126
2026-03-26 06:00:00,24255.75,24266.25,24237.25,24246.25,24246.25,1851
2026-03-26 06:15:00,24241.75,24287.25,24232.0,24282.75,24282.75,1347
2026-03-26 06:30:00,24280.5,24290.0,24265.75,24279.25,24279.25,983
2026-03-26 06:45:00,24279.25,24295.75,24268.0,24288.25,24288.25,838
2026-03-26 07:00:00,24288.75,24298.0,24236.5,24253.0,24253.0,1800
2026-03-26 07:15:00,24253.0,24280.25,24199.0,24255.5,24255.5,2439
2026-03-26 07:30:00,24252.0,24270.25,24236.75,24255.5,24255.5,1204
2026-03-26 07:45:00,24254.5,24274.0,24253.0,24259.5,24259.5,813
2026-03-26 08:00:00,24258.5,24288.0,24204.0,24207.5,24207.5,2413
2026-03-26 08:15:00,24206.0,24232.0,24188.25,24193.0,24193.0,3052
2026-03-26 08:30:00,24193.0,24218.5,24172.25,24174.5,24174.5,2770
2026-03-26 08:45:00,24173.75,24202.75,24152.5,24193.75,24193.75,2272
2026-03-26 09:00:00,24194.5,24197.75,24155.0,24169.5,24169.5,2683
2026-03-26 09:15:00,24170.0,24173.5,24143.75,24152.75,24152.75,2428
2026-03-26 09:30:00,24151.75,24151.75,24107.0,24141.0,24141.0,4041
2026-03-26 09:45:00,24141.75,24166.0,24130.0,24155.0,24155.0,1743
2026-03-26 10:00:00,24155.75,24196.25,24132.25,24186.5,24186.5,2025
2026-03-26 10:15:00,24186.75,24202.25,24172.0,24196.5,24196.5,2154
2026-03-26 10:30:00,24196.25,24202.0,24147.75,24161.75,24161.75,3083
2026-03-26 10:45:00,24161.75,24183.5,24159.25,24176.5,24176.5,1483
2026-03-26 11:00:00,24178.25,24188.5,24160.75,24164.5,24164.5,1897
2026-03-26 11:15:00,24164.75,24176.0,24126.0,24143.5,24143.5,2798
2026-03-26 11:30:00,24143.5,24152.5,24118.25,24125.5,24125.5,2362
2026-03-26 11:45:00,24125.25,24136.5,24098.75,24102.0,24102.0,2826
2026-03-26 12:00:00,24101.75,24144.0,24078.0,24137.0,24137.0,4475
2026-03-26 12:15:00,24137.25,24147.75,24128.25,24132.0,24132.0,2612
2026-03-26 12:30:00,24131.25,24131.75,24069.0,24095.5,24095.5,5273
2026-03-26 12:45:00,24093.75,24121.25,24093.75,24118.0,24118.0,4571
2026-03-26 13:00:00,24117.25,24146.0,24110.75,24133.75,24133.75,4336
2026-03-26 13:15:00,24133.25,24159.75,24126.0,24156.25,24156.25,5441
2026-03-26 13:30:00,24156.25,24157.75,24064.0,24156.5,24156.5,28823
2026-03-26 13:45:00,24156.25,24233.25,24139.0,24215.5,24215.5,30110
2026-03-26 14:00:00,24216.0,24242.5,24168.75,24213.5,24213.5,19270
2026-03-26 14:15:00,24212.5,24230.75,24169.75,24170.75,24170.75,11182
2026-03-26 14:30:00,24171.25,24225.75,24116.75,24123.25,24123.25,19351
