symbol,total_weighted,volatility_weighted,count,norm_score,volatility_score,last_date,last_catalyst
NQ,-0.04375866595214738,2.466613551981937,5,-0.019569470334741417,1.1031031152907644,2026-06-19T00:00:00,Juneteenth National Independence Day
ES,-0.04375866595214738,2.466613551981937,5,-0.019569470334741417,1.1031031152907644,2026-06-19T00:00:00,Juneteenth National Independence Day
QQQ,-0.04375866595214738,2.466613551981937,5,-0.019569470334741417,1.1031031152907644,2026-06-19T00:00:00,Juneteenth National Independence Day
SPY,-0.04375866595214738,2.466613551981937,5,-0.019569470334741417,1.1031031152907644,2026-06-19T00:00:00,Juneteenth National Independence Day
