symbol,total_weighted,count,norm_score,last_date
SPX,3.0,3,1.7320508075688774,2026-06-04T15:21:21.017701
NFLX,1.0,1,1.0,2026-06-04T15:21:18.512034
GME,1.0,1,1.0,2026-06-04T15:21:20.515745
SPCX,0.0,1,0.0,2026-06-04T15:21:18.011484
IPO,0.0,2,0.0,2026-06-04T15:21:21.518103
BTC,0.0,1,0.0,2026-06-04T15:21:19.513238
USD,0.0,1,0.0,2026-06-04T15:21:19.513238
GOOGL,0.0,1,0.0,2026-06-04T15:21:22.018801
MARKET,0.0,1,0.0,2026-06-04T15:21:17.510866
