session_date,symbol,volume,rows
2020-06-29,NQU0,474640.0,1365.0
2020-06-30,NQU0,161333.0,971.0
2020-07-01,NQU0,392777.0,1245.0
2020-07-02,NQU0,399340.0,1365.0
2020-07-03,NQU0,67005.0,1140.0
2020-07-06,NQU0,411811.0,1365.0
2020-07-07,NQU0,460778.0,1365.0
2020-07-08,NQU0,474837.0,1365.0
2020-07-09,NQU0,601335.0,1365.0
2020-07-10,NQU0,521764.0,1365.0
2020-07-13,NQU0,727669.0,1365.0
2020-07-14,NQU0,907929.0,1365.0
2020-07-15,NQU0,700322.0,1365.0
2020-07-16,NQU0,609858.0,1365.0
2020-07-17,NQU0,435778.0,1365.0
2020-07-20,NQU0,491282.0,1365.0
2020-07-21,NQU0,582625.0,1365.0
2020-07-22,NQU0,481771.0,1365.0
2020-07-23,NQU0,633776.0,1365.0
2020-07-24,NQU0,647300.0,1365.0
2020-07-27,NQU0,441154.0,1365.0
2020-07-28,NQU0,440794.0,1365.0
2020-07-29,NQU0,364995.0,1365.0
2020-07-30,NQU0,517384.0,1365.0
2020-07-31,NQU0,620274.0,1365.0
2020-08-03,NQU0,386036.0,1365.0
2020-08-04,NQU0,392396.0,1364.0
2020-08-05,NQU0,346886.0,1365.0
2020-08-06,NQU0,417564.0,1364.0
2020-08-07,NQU0,525809.0,1364.0
2020-08-10,NQU0,478838.0,1365.0
2020-08-11,NQU0,554130.0,1365.0
2020-08-12,NQU0,425460.0,1365.0
2020-08-13,NQU0,409935.0,1365.0
2020-08-14,NQU0,389744.0,1365.0
2020-08-17,NQU0,238717.0,1364.0
2020-08-18,NQU0,323535.0,1364.0
2020-08-19,NQU0,404937.0,1365.0
2020-08-20,NQU0,396384.0,1365.0
2020-08-21,NQU0,409920.0,1365.0
2020-08-24,NQU0,611896.0,1365.0
2020-08-25,NQU0,488109.0,1365.0
2020-08-26,NQU0,568849.0,1365.0
2020-08-27,NQU0,704462.0,1365.0
2020-08-28,NQU0,486904.0,1364.0
2020-08-31,NQU0,475750.0,1365.0
2020-09-01,NQU0,511566.0,1365.0
2020-09-02,NQU0,719067.0,1365.0
2020-09-03,NQU0,916195.0,1365.0
2020-09-04,NQU0,1179208.0,1365.0
2020-09-07,NQU0,149180.0,1140.0
2020-09-08,NQU0,845503.0,1365.0
2020-09-09,NQU0,693562.0,1365.0
2020-09-10,NQU0,838144.0,1365.0
2020-09-11,NQU0,412030.0,1365.0
2020-09-14,NQZ0,437469.0,1365.0
2020-09-15,NQZ0,438104.0,1364.0
2020-09-16,NQZ0,562101.0,1365.0
2020-09-17,NQZ0,765377.0,1365.0
2020-09-18,NQZ0,763379.0,1365.0
2020-09-21,NQZ0,719687.0,1365.0
2020-09-22,NQZ0,568918.0,1365.0
2020-09-23,NQZ0,651190.0,1365.0
2020-09-24,NQZ0,776331.0,1365.0
2020-09-25,NQZ0,582575.0,1365.0
2020-09-28,NQZ0,542767.0,1365.0
2020-09-29,NQZ0,437192.0,1365.0
2020-09-30,NQZ0,636121.0,1365.0
2020-10-01,NQZ0,559213.0,1365.0
2020-10-02,NQZ0,782575.0,1365.0
2020-10-05,NQZ0,390995.0,1365.0
2020-10-06,NQZ0,600322.0,1365.0
2020-10-07,NQZ0,438746.0,1365.0
2020-10-08,NQZ0,401397.0,1365.0
2020-10-09,NQZ0,401678.0,1365.0
2020-10-12,NQZ0,716368.0,1365.0
2020-10-13,NQZ0,732027.0,1365.0
2020-10-14,NQZ0,591697.0,1365.0
2020-10-15,NQZ0,588015.0,1365.0
2020-10-16,NQZ0,520247.0,1365.0
2020-10-19,NQZ0,618655.0,1365.0
2020-10-20,NQZ0,620057.0,1365.0
2020-10-21,NQZ0,598765.0,1365.0
2020-10-22,NQZ0,578428.0,1365.0
2020-10-23,NQZ0,496216.0,1365.0
2020-10-26,NQZ0,668516.0,1365.0
2020-10-27,NQZ0,548857.0,1365.0
2020-10-28,NQZ0,742040.0,1364.0
2020-10-29,NQZ0,600851.0,1365.0
2020-10-30,NQZ0,792485.0,1365.0
2020-11-01,NQZ0,44030.0,360.0
2020-11-02,NQZ0,554790.0,1005.0
2020-11-03,NQZ0,504048.0,1365.0
2020-11-04,NQZ0,821447.0,1364.0
2020-11-05,NQZ0,568974.0,1365.0
2020-11-06,NQZ0,546448.0,1365.0
2020-11-09,NQZ0,711692.0,1364.0
2020-11-10,NQZ0,818860.0,1365.0
2020-11-11,NQZ0,538005.0,1365.0
2020-11-12,NQZ0,550844.0,1365.0
2020-11-13,NQZ0,442990.0,1365.0
2020-11-16,NQZ0,467452.0,1365.0
2020-11-17,NQZ0,396137.0,1365.0
2020-11-18,NQZ0,469212.0,1365.0
2020-11-19,NQZ0,419036.0,1365.0
2020-11-20,NQZ0,355508.0,1365.0
2020-11-23,NQZ0,422923.0,1365.0
2020-11-24,NQZ0,396380.0,1365.0
2020-11-25,NQZ0,382969.0,1365.0
2020-11-26,NQZ0,67231.0,1140.0
2020-11-27,NQZ0,225350.0,1155.0
2020-11-30,NQZ0,489507.0,1365.0
2020-12-01,NQZ0,459837.0,1365.0
2020-12-02,NQZ0,397605.0,1365.0
2020-12-03,NQZ0,371048.0,1365.0
2020-12-04,NQZ0,315086.0,1365.0
2020-12-07,NQZ0,319823.0,1365.0
2020-12-08,NQZ0,357605.0,1365.0
2020-12-09,NQZ0,615982.0,1365.0
2020-12-10,NQZ0,501630.0,1365.0
2020-12-11,NQZ0,308077.0,1365.0
2020-12-14,NQH1,339515.0,1359.0
2020-12-15,NQH1,333061.0,1365.0
2020-12-16,NQH1,352175.0,1365.0
2020-12-17,NQH1,359961.0,1365.0
2020-12-18,NQH1,452257.0,1365.0
2020-12-21,NQH1,595910.0,1365.0
2020-12-22,NQH1,454608.0,1365.0
2020-12-23,NQH1,354492.0,1365.0
2020-12-24,NQH1,171534.0,1155.0
2020-12-28,NQH1,341704.0,1365.0
2020-12-29,NQH1,390966.0,1365.0
2020-12-30,NQH1,331621.0,1365.0
2020-12-31,NQH1,277054.0,1365.0
2021-01-04,NQH1,644065.0,1365.0
2021-01-05,NQH1,478886.0,1365.0
2021-01-06,NQH1,743824.0,1365.0
2021-01-07,NQH1,430826.0,1365.0
2021-01-08,NQH1,502729.0,1365.0
2021-01-11,NQH1,448007.0,1365.0
2021-01-12,NQH1,457113.0,1365.0
2021-01-13,NQH1,411182.0,1365.0
2021-01-14,NQH1,412876.0,1365.0
2021-01-15,NQH1,532387.0,1365.0
2021-01-18,NQH1,66738.0,1140.0
2021-01-19,NQH1,411121.0,1365.0
2021-01-20,NQH1,430922.0,1365.0
2021-01-21,NQH1,418512.0,1365.0
2021-01-22,NQH1,403927.0,1365.0
2021-01-25,NQH1,657980.0,1365.0
2021-01-26,NQH1,496447.0,1365.0
2021-01-27,NQH1,777205.0,1364.0
2021-01-28,NQH1,615791.0,1365.0
2021-01-29,NQH1,728579.0,1365.0
2021-02-01,NQH1,543230.0,1365.0
2021-02-02,NQH1,483687.0,1365.0
2021-02-03,NQH1,494279.0,1365.0
2021-02-04,NQH1,404863.0,1365.0
2021-02-05,NQH1,425642.0,1365.0
2021-02-08,NQH1,390481.0,1365.0
2021-02-09,NQH1,363942.0,1365.0
2021-02-10,NQH1,548433.0,1365.0
2021-02-11,NQH1,491500.0,1364.0
2021-02-12,NQH1,388705.0,1365.0
2021-02-15,NQH1,60606.0,1139.0
2021-02-16,NQH1,535885.0,1365.0
2021-02-17,NQH1,574282.0,1365.0
2021-02-18,NQH1,563596.0,1365.0
2021-02-19,NQH1,523110.0,1365.0
2021-02-22,NQH1,633615.0,1365.0
2021-02-23,NQH1,849721.0,1365.0
2021-02-24,NQH1,656398.0,1365.0
2021-02-25,NQH1,874287.0,1365.0
2021-02-26,NQH1,827028.0,1365.0
2021-03-01,NQH1,505368.0,1365.0
2021-03-02,NQH1,556858.0,1365.0
2021-03-03,NQH1,742319.0,1365.0
2021-03-04,NQH1,1041713.0,1365.0
2021-03-05,NQH1,1003149.0,1365.0
2021-03-08,NQH1,735091.0,1365.0
2021-03-09,NQH1,629547.0,1365.0
2021-03-10,NQH1,703746.0,1365.0
2021-03-11,NQH1,479084.0,1365.0
2021-03-12,NQH1,389008.0,1365.0
2021-03-15,NQM1,311508.0,1365.0
2021-03-16,NQM1,466749.0,1365.0
2021-03-17,NQM1,596475.0,1365.0
2021-03-18,NQM1,664816.0,1365.0
2021-03-19,NQM1,628009.0,1365.0
2021-03-22,NQM1,467284.0,1365.0
2021-03-23,NQM1,596405.0,1365.0
2021-03-24,NQM1,621341.0,1365.0
2021-03-25,NQM1,737777.0,1364.0
2021-03-26,NQM1,613847.0,1365.0
2021-03-29,NQM1,568559.0,1365.0
2021-03-30,NQM1,508996.0,1365.0
2021-03-31,NQM1,470169.0,1364.0
2021-04-01,NQM1,422683.0,1365.0
2021-04-02,NQM1,41583.0,910.0
2021-04-05,NQM1,349179.0,1365.0
