group_type,event_family,catalyst_category,surprise_side,market_bias_side,sample_size,raw_bullish_probability,bullish_probability,bearish_probability,raw_market_move_probability,market_move_probability,sample_confidence,confidence_label,avg_return_pts,median_return_pts,avg_return_pct,median_return_pct,avg_mfe_pts,avg_mae_pts,avg_abs_surprise,avg_market_bias_score,window_label
category_all,,labor,,,1316,0.47720364741641336,0.4772727272727273,0.5227272727272727,0.29711246200607905,0.296969696969697,1.0,high,-1.6341185410334347,-0.5,-0.010967210844990019,-0.0081357023869853,21.070668693009118,-24.84498480243161,124515.19756838906,-0.0012668427120888883,60m
category_all,,growth,,,998,0.5360721442885772,0.5359281437125748,0.4640718562874252,0.47695390781563124,0.47604790419161674,1.0,high,0.19238476953907815,1.75,0.00022707093293770716,0.032231611573422185,31.50175350701403,-33.26653306613226,41061.03908045977,-0.009780439121756485,60m
category_all,,inflation,,,190,0.5368421052631579,0.5360824742268041,0.4639175257731959,0.3526315789473684,0.35051546391752575,1.0,high,1.5671052631578948,0.875,0.021995446832558344,0.01877649740064418,27.364473684210527,-27.907894736842106,0.06839378238341969,0.016971055500434845,60m
category_all,,other,,,138,0.3695652173913043,0.3732394366197183,0.6267605633802817,0.2391304347826087,0.23943661971830985,1.0,high,-9.143115942028986,-2.25,-0.06812191106341883,-0.057145359717299296,12.432971014492754,-22.338768115942027,45638.29787234042,0.0,60m
category_all,,central_bank,,,128,0.6328125,0.6287878787878788,0.3712121212121212,0.625,0.6136363636363636,1.0,high,6.90234375,5.375,0.07806695496778276,0.12712831842420722,49.423828125,-51.76953125,0.07677165354330709,-0.0390625,60m
category_market_bias,,labor,,market_negative,587,0.48211243611584326,0.48223350253807107,0.5177664974619289,0.29642248722316866,0.2961082910321489,1.0,high,-2.684838160136286,-0.25,-0.010674259194634274,-0.0052213868003341685,19.125212947189098,-23.774701873935264,143039.0492359932,-0.6357142486151685,60m
category_market_bias,,labor,,market_positive,579,0.4784110535405872,0.47855917667238423,0.5214408233276158,0.2711571675302245,0.27101200686106347,1.0,high,-0.7651122625215889,-0.5,-0.01039508665366844,-0.010031498906566618,21.293177892918827,-23.401554404145077,93256.45438898451,0.6549754436861439,60m
category_market_bias,,growth,,market_negative,381,0.5590551181102362,0.5584415584415584,0.4415584415584416,0.5013123359580053,0.4987012987012987,1.0,high,1.3786089238845145,3.0,0.020358246997773628,0.05903530504800247,32.24278215223097,-34.40813648293963,60917.043979057584,-0.6990837696335079,60m
category_market_bias,,growth,,market_positive,368,0.5054347826086957,0.5053763440860215,0.4946236559139785,0.45652173913043476,0.4543010752688172,1.0,high,-2.0129076086956523,0.25,-0.027778029743015898,0.007759683458664688,32.07540760869565,-34.16236413043478,24066.243089430893,0.6971544715447154,60m
category_market_bias,,growth,,market_neutral,243,0.5432098765432098,0.5425101214574899,0.4574898785425101,0.4732510288065844,0.46963562753036436,1.0,high,1.2304526748971194,2.0,0.007767960070024682,0.03848691444908731,29.674897119341562,-30.691358024691358,0.0,0.0,60m
category_market_bias,,other,,market_neutral,138,0.3695652173913043,0.3732394366197183,0.6267605633802817,0.2391304347826087,0.23943661971830985,1.0,high,-9.143115942028986,-2.25,-0.06812191106341883,-0.057145359717299296,12.432971014492754,-22.338768115942027,45638.29787234042,0.0,60m
category_market_bias,,labor,,market_mixed,120,0.475,0.47580645161290325,0.5241935483870968,0.45,0.4435483870967742,1.0,high,-0.19166666666666668,-0.25,-0.013759696383873954,-0.004561172745931061,30.908333333333335,-38.11875,211916.66666666666,-0.06481060606060605,60m
category_market_bias,,central_bank,,market_neutral,103,0.6601941747572816,0.6542056074766355,0.3457943925233645,0.6019417475728155,0.5887850467289719,1.0,high,12.393203883495145,7.0,0.13414387218725243,0.16594960049170251,44.87135922330097,-36.949029126213595,0.0,0.0,60m
category_market_bias,,inflation,,market_positive,67,0.5970149253731343,0.5915492957746479,0.4084507042253521,0.373134328358209,0.36619718309859156,1.0,high,6.626865671641791,2.5,0.0803301673148756,0.0762536261914629,31.854477611940297,-24.041044776119403,0.08857142857142856,0.6509557581898008,60m
category_market_bias,,inflation,,market_negative,66,0.4696969696969697,0.4714285714285714,0.5285714285714286,0.3484848484848485,0.34285714285714286,1.0,high,-6.056818181818182,-0.25,-0.055978402211336216,-0.0042323360399941085,27.84090909090909,-39.928030303030305,0.07575757575757576,-0.6259993552546744,60m
category_market_bias,,inflation,,market_mixed,44,0.5454545454545454,0.5416666666666666,0.45833333333333337,0.29545454545454547,0.2916666666666667,1.0,high,2.397727272727273,0.5,0.039336811029640144,0.012833543210615132,20.039772727272727,-17.551136363636363,0.04545454545454546,-0.017432301740812374,60m
category_market_bias,,labor,,market_neutral,30,0.36666666666666664,0.38235294117647056,0.6176470588235294,0.2,0.20588235294117646,1.0,high,-3.6166666666666667,-1.75,-0.016571352873921603,-0.019298862740124018,15.491666666666667,-20.55,0.0,0.0,60m
category_market_bias,,central_bank,,market_negative,15,0.6666666666666666,0.631578947368421,0.368421052631579,0.6,0.5263157894736842,1.0,high,16.516666666666666,5.5,0.08698563123154648,0.0720178080398062,77.51666666666667,-96.5,0.4,-1.0,60m
category_market_bias,,inflation,,market_neutral,13,0.5384615384615384,0.5294117647058824,0.47058823529411764,0.46153846153846156,0.4117647058823529,1.0,high,11.384615384615385,0.25,0.05852065759488023,0.005625879043600563,26.596153846153847,-21.865384615384617,0.0,-0.0160392798690671,60m
category_market_bias,,central_bank,,market_positive,10,0.3,0.35714285714285715,0.6428571428571428,0.9,0.7142857142857143,0.8333333333333334,high,-64.075,-52.0,-0.5129033067884,-0.4607372168550413,54.175,-137.325,0.375,1.0,60m
category_market_bias,,growth,,market_mixed,6,0.6666666666666666,0.6,0.4,0.3333333333333333,0.3,0.5,medium,18.083333333333332,9.875,0.13413755555565568,0.1085162202641829,23.25,-10.125,5.585714285714286,0.0,60m
category_side,,labor,positive,,579,0.4697754749568221,0.4699828473413379,0.5300171526586621,0.2970639032815199,0.2967409948542024,1.0,high,-2.6765975820379966,-0.75,-0.013496453020769164,-0.01044059302568386,18.907167530224527,-23.8713298791019,142081.0344827586,-0.6082416585229653,60m
category_side,,labor,negative,,551,0.4827586206896552,0.4828828828828829,0.5171171171171172,0.26678765880217786,0.26666666666666666,1.0,high,-0.10390199637023594,-0.5,-0.007056127459051362,-0.009198785760279644,21.099818511796734,-23.11070780399274,94580.47016274865,0.6356344106489171,60m
category_side,,growth,negative,,380,0.5578947368421052,0.5572916666666666,0.44270833333333337,0.5026315789473684,0.5,1.0,high,1.331578947368421,2.875,0.020214795147966074,0.05603266550721449,32.22171052631579,-34.42697368421052,61076.93070866141,-0.6990813648293964,60m
category_side,,growth,positive,,368,0.5054347826086957,0.5053763440860215,0.4946236559139785,0.45652173913043476,0.4543010752688172,1.0,high,-2.0129076086956523,0.25,-0.027778029743015898,0.007759683458664688,32.07540760869565,-34.16236413043478,24066.243089430893,0.6971544715447154,60m
category_side,,growth,flat,,243,0.5432098765432098,0.5425101214574899,0.4574898785425101,0.4732510288065844,0.46963562753036436,1.0,high,1.2304526748971194,2.0,0.007767960070024682,0.03848691444908731,29.674897119341562,-30.691358024691358,0.0,0.0,60m
category_side,,labor,mixed,,158,0.5063291139240507,0.5061728395061729,0.49382716049382713,0.4177215189873418,0.41358024691358025,1.0,high,-2.7832278481012658,0.375,-0.01394308918879334,0.006601532560819455,29.879746835443036,-35.18512658227848,183345.91194968554,-0.002502512738922384,60m
category_side,,central_bank,flat,,103,0.6601941747572816,0.6542056074766355,0.3457943925233645,0.6019417475728155,0.5887850467289719,1.0,high,12.393203883495145,7.0,0.13414387218725243,0.16594960049170251,44.87135922330097,-36.949029126213595,0.0,0.0,60m
category_side,,other,positive,,73,0.3698630136986301,0.37662337662337664,0.6233766233766234,0.2465753424657534,0.24675324675324675,1.0,high,-10.325342465753424,-1.75,-0.05228790778449586,-0.057444852941176475,14.496575342465754,-23.623287671232877,50680.0,0.0,60m
category_side,,inflation,mixed,,66,0.5,0.5,0.5,0.21212121212121213,0.21428571428571427,1.0,high,-0.5871212121212122,0.125,0.008272622690535253,0.0015756964578343628,18.0,-18.62878787878788,0.06060606060606061,-0.021921341070277243,60m
category_side,,other,negative,,64,0.359375,0.36764705882352944,0.6323529411764706,0.234375,0.23529411764705882,1.0,high,-7.9609375,-4.25,-0.0877586837900139,-0.057528535219043615,10.125,-21.18359375,40523.07692307692,0.0,60m
category_side,,inflation,positive,,59,0.5254237288135594,0.5238095238095238,0.47619047619047616,0.3728813559322034,0.36507936507936506,1.0,high,-3.7288135593220337,0.25,-0.03355410968476653,0.005625879043600563,30.48728813559322,-38.90677966101695,0.06949152542372881,-0.5779300396682293,60m
category_side,,inflation,negative,,58,0.5862068965517241,0.5806451612903226,0.4193548387096774,0.46551724137931033,0.45161290322580644,1.0,high,6.762931034482759,2.375,0.0840559635626209,0.06585666273832451,33.27155172413793,-27.362068965517242,0.08360655737704917,0.6363949928302911,60m
category_side,,labor,flat,,28,0.35714285714285715,0.375,0.625,0.21428571428571427,0.21875,1.0,high,-3.705357142857143,-1.75,-0.018838173257673962,-0.019298862740124018,15.526785714285714,-20.758928571428573,0.0,0.0,60m
category_side,,central_bank,positive,,15,0.6666666666666666,0.631578947368421,0.368421052631579,0.6,0.5263157894736842,1.0,high,16.516666666666666,5.5,0.08698563123154648,0.0720178080398062,77.51666666666667,-96.5,0.4,-1.0,60m
category_side,,central_bank,negative,,10,0.3,0.35714285714285715,0.6428571428571428,0.9,0.7142857142857143,0.8333333333333334,high,-64.075,-52.0,-0.5129033067884,-0.4607372168550413,54.175,-137.325,0.375,1.0,60m
category_side,,growth,mixed,,7,0.7142857142857143,0.6363636363636364,0.36363636363636365,0.2857142857142857,0.2727272727272727,0.5833333333333334,medium,18.25,13.5,0.1256707547512254,0.08468728436108149,25.678571428571427,-12.571428571428571,4.912499999999999,-0.0875,60m
category_side,,inflation,flat,,7,0.5714285714285714,0.5454545454545454,0.4545454545454546,0.5714285714285714,0.45454545454545453,0.5833333333333334,medium,23.464285714285715,6.25,0.1053697693399956,0.06885345231209893,40.392857142857146,-27.214285714285715,0.0,0.0,60m
event_family_all,jobless_claims,,,,783,0.4763729246487867,0.4764930114358323,0.5235069885641677,0.25798212005108556,0.2579415501905972,1.0,high,-0.8148148148148148,-0.5,-0.0034650283648692205,-0.008983918785374181,17.876436781609197,-20.003192848020433,22425.287356321838,0.0542566709021601,60m
event_family_all,ism_pmi,,,,652,0.549079754601227,0.5487804878048781,0.4512195121951219,0.5383435582822086,0.5365853658536586,1.0,high,0.5617331288343558,2.75,0.004130700172322143,0.05304609809373026,35.543328220858896,-37.418711656441715,1.37632183908046,0.010703363914373088,60m
