group_type,event_family,catalyst_category,surprise_side,market_bias_side,sample_size,raw_bullish_probability,bullish_probability,bearish_probability,raw_market_move_probability,market_move_probability,sample_confidence,confidence_label,avg_return_pts,median_return_pts,avg_return_pct,median_return_pct,avg_mfe_pts,avg_mae_pts,avg_abs_surprise,avg_market_bias_score,window_label
category_all,,labor,,,101,0.4752475247524752,0.47619047619047616,0.5238095238095238,0.32673267326732675,0.3238095238095238,1.0,high,1.6386138613861385,-4.75,0.013734084719496425,-0.018755799490631973,44.57673267326733,-43.98762376237624,52902.25563909775,0.07084294882988698,60m
category_all,,growth,,,75,0.49333333333333335,0.4936708860759494,0.5063291139240507,0.5066666666666667,0.4936708860759494,1.0,high,-7.333333333333333,-0.25,-0.04231517022595581,-0.0010168388513788335,61.71,-68.62333333333333,17473.350549450563,0.006862745098039209,60m
category_all,,inflation,,,11,0.36363636363636365,0.4,0.6,0.45454545454545453,0.4,0.9166666666666666,high,-11.909090909090908,-22.5,-0.05444123134402563,-0.12146896467952438,51.09090909090909,-67.52272727272727,0.05625,0.0779255319148936,60m
category_all,,other,,,10,0.3,0.35714285714285715,0.6428571428571428,0.2,0.21428571428571427,0.8333333333333334,high,-22.675,-31.5,-0.10153821893314514,-0.1681966655541366,19.875,-44.475,48733.333333333336,0.0,60m
category_all,,central_bank,,,9,0.5555555555555556,0.5384615384615384,0.46153846153846156,0.6666666666666666,0.5384615384615384,0.75,high,17.083333333333332,25.75,0.1451557856795871,0.14846204848799333,104.44444444444444,-105.83333333333333,0.06818181818181818,0.16666666666666666,60m
category_market_bias,,labor,,market_positive,48,0.5416666666666666,0.5384615384615384,0.46153846153846156,0.375,0.36538461538461536,1.0,high,7.338541666666667,6.5,0.0412207233410062,0.03546752128298425,53.489583333333336,-47.505208333333336,48584.61538461538,0.6418979266347687,60m
category_market_bias,,labor,,market_negative,37,0.43243243243243246,0.43902439024390244,0.5609756097560976,0.24324324324324326,0.24390243902439024,1.0,high,1.1013513513513513,-7.25,0.007838295324619675,-0.03795910887719574,35.013513513513516,-34.20945945945946,53924.52830188679,-0.60662669009243,60m
category_market_bias,,growth,,market_positive,32,0.5625,0.5555555555555556,0.4444444444444444,0.5625,0.5277777777777778,1.0,high,0.1328125,16.0,-0.016499543229236205,0.07319354900014353,68.109375,-68.1484375,20682.68181818184,0.7,60m
category_market_bias,,growth,,market_negative,29,0.41379310344827586,0.42424242424242425,0.5757575757575757,0.5517241379310345,0.5151515151515151,1.0,high,-23.43103448275862,-11.75,-0.10806454186777475,-0.0590044567196033,60.758620689655174,-78.14655172413794,15814.811627906987,-0.7,60m
category_market_bias,,growth,,market_neutral,14,0.5,0.5,0.5,0.2857142857142857,0.2777777777777778,1.0,high,8.946428571428571,-0.125,0.034872809325310075,-0.0011896180961227343,49.05357142857143,-49.982142857142854,0.0,0.0,60m
category_market_bias,,labor,,market_mixed,11,0.45454545454545453,0.4666666666666667,0.5333333333333333,0.2727272727272727,0.26666666666666666,0.9166666666666666,high,-3.6818181818181817,-14.0,-0.01286758959111249,-0.06831101027104833,47.09090909090909,-49.93181818181818,78461.53846153847,0.010256410256410255,60m
