group_type,event_family,catalyst_category,surprise_side,market_bias_side,sample_size,raw_bullish_probability,bullish_probability,bearish_probability,raw_market_move_probability,market_move_probability,sample_confidence,confidence_label,avg_return_pts,median_return_pts,avg_return_pct,median_return_pct,avg_mfe_pts,avg_mae_pts,avg_abs_surprise,avg_market_bias_score,window_label
category_all,,labor,,,101,0.46534653465346537,0.4666666666666667,0.5333333333333333,0.48514851485148514,0.47619047619047616,1.0,high,-9.819306930693068,-9.75,-0.042159282448920865,-0.046838407494145196,51.53465346534654,-64.95792079207921,52902.25563909775,0.07084294882988698,60m
category_all,,growth,,,75,0.56,0.5569620253164557,0.44303797468354433,0.5066666666666667,0.4936708860759494,1.0,high,-0.33,14.0,-0.0019956192706956106,0.06871588401533041,56.343333333333334,-58.07666666666667,17473.350549450563,0.006862745098039209,60m
category_all,,inflation,,,11,0.45454545454545453,0.4666666666666667,0.5333333333333333,0.45454545454545453,0.4,0.9166666666666666,high,-12.590909090909092,-22.5,-0.06074675913424287,-0.10889205327334298,49.18181818181818,-77.27272727272727,0.05625,0.0779255319148936,60m
category_all,,other,,,10,0.4,0.42857142857142855,0.5714285714285714,0.4,0.35714285714285715,0.8333333333333334,high,-25.0,-29.75,-0.14027806904490175,-0.14487373180718707,40.25,-73.4,48733.333333333336,0.0,60m
category_all,,central_bank,,,9,0.4444444444444444,0.46153846153846156,0.5384615384615384,0.8888888888888888,0.6923076923076923,0.75,high,-40.69444444444444,-25.25,-0.2633947355762791,-0.12937107723837582,67.44444444444444,-111.77777777777777,0.06818181818181818,0.16666666666666666,60m
category_market_bias,,labor,,market_positive,48,0.4791666666666667,0.4807692307692308,0.5192307692307692,0.5,0.4807692307692308,1.0,high,-18.229166666666668,-10.5,-0.0814368268161212,-0.04810697603867876,51.848958333333336,-73.76041666666667,48584.61538461538,0.6418979266347687,60m
category_market_bias,,labor,,market_negative,37,0.40540540540540543,0.4146341463414634,0.5853658536585367,0.32432432432432434,0.3170731707317073,1.0,high,-5.081081081081081,-11.0,-0.02482019405386365,-0.046838407494145196,39.054054054054056,-51.472972972972975,53924.52830188679,-0.60662669009243,60m
category_market_bias,,growth,,market_positive,32,0.53125,0.5277777777777778,0.4722222222222222,0.46875,0.4444444444444444,1.0,high,-10.28125,13.25,-0.048441292477299044,0.05647189437483037,51.296875,-68.8046875,20682.68181818184,0.7,60m
category_market_bias,,growth,,market_negative,29,0.6206896551724138,0.6060606060606061,0.3939393939393939,0.5517241379310345,0.5151515151515151,1.0,high,13.318965517241379,17.75,0.06256452436302215,0.07530930607853685,65.25,-45.55172413793103,15814.811627906987,-0.7,60m
category_market_bias,,growth,,market_neutral,14,0.5,0.5,0.5,0.5,0.4444444444444444,1.0,high,-5.857142857142857,-0.375,-0.029565806611160268,-0.004622207133124164,49.42857142857143,-59.5,0.0,0.0,60m
category_market_bias,,labor,,market_mixed,11,0.5454545454545454,0.5333333333333333,0.4666666666666667,0.9090909090909091,0.7333333333333333,0.9166666666666666,high,6.590909090909091,56.25,0.03184976976219392,0.2811937612477505,82.20454545454545,-55.84090909090909,78461.53846153847,0.010256410256410255,60m
category_market_bias,,other,,market_neutral,10,0.4,0.42857142857142855,0.5714285714285714,0.4,0.35714285714285715,0.8333333333333334,high,-25.0,-29.75,-0.14027806904490175,-0.14487373180718707,40.25,-73.4,48733.333333333336,0.0,60m
category_market_bias,,central_bank,,market_neutral,7,0.42857142857142855,0.45454545454545453,0.5454545454545454,0.8571428571428571,0.6363636363636364,0.5833333333333334,medium,-44.214285714285715,-25.25,-0.2861385208159319,-0.12937107723837582,56.82142857142857,-118.71428571428571,0.0,0.0,60m
category_market_bias,,inflation,,market_positive,5,0.4,0.4444444444444444,0.5555555555555556,0.6,0.4444444444444444,0.4166666666666667,low,-15.0,-22.75,-0.09105424072892895,-0.10889205327334298,59.7,-70.25,0.062499999999999986,0.6194148936170213,60m
category_market_bias,,labor,,market_neutral,5,0.6,0.5555555555555556,0.4444444444444444,0.6,0.4444444444444444,0.4166666666666667,low,-0.25,37.75,0.0437759744883268,0.1447067053828978,73.4,-100.3,0.0,0.0,60m
category_market_bias,,inflation,,market_negative,4,0.75,0.625,0.375,0.25,0.25,0.3333333333333333,low,20.8125,16.625,0.10901179863361907,0.07924816369559184,46.25,-78.0,0.08000000000000003,-0.7634042553191489,60m
category_side,,labor,negative,,47,0.425531914893617,0.43137254901960786,0.5686274509803921,0.5106382978723404,0.49019607843137253,1.0,high,-26.069148936170212,-16.0,-0.1274428432807439,-0.08601225674658639,48.3031914893617,-77.44680851063829,54180.32786885246,0.6100949094046593,60m
category_side,,labor,positive,,37,0.40540540540540543,0.4146341463414634,0.5853658536585367,0.35135135135135137,0.34146341463414637,1.0,high,-6.621621621621622,-11.0,-0.03225748772624407,-0.046838407494145196,39.96621621621622,-53.1554054054054,55235.294117647056,-0.5672686618507052,60m
category_side,,growth,positive,,32,0.53125,0.5277777777777778,0.4722222222222222,0.46875,0.4444444444444444,1.0,high,-10.28125,13.25,-0.048441292477299044,0.05647189437483037,51.296875,-68.8046875,20682.68181818184,0.7,60m
category_side,,growth,negative,,28,0.6071428571428571,0.59375,0.40625,0.5357142857142857,0.5,1.0,high,8.116071428571429,15.875,0.04271732512081228,0.07201259504693364,61.705357142857146,-45.276785714285715,16191.35000000001,-0.7,60m
category_side,,growth,flat,,14,0.5,0.5,0.5,0.5,0.4444444444444444,1.0,high,-5.857142857142857,-0.375,-0.029565806611160268,-0.004622207133124164,49.42857142857143,-59.5,0.0,0.0,60m
category_side,,labor,mixed,,12,0.75,0.6875,0.3125,0.75,0.625,1.0,high,39.979166666666664,58.5,0.2255311066902795,0.3080006751098836,90.75,-37.708333333333336,48105.26315789474,0.07475769844190895,60m
