session_date,symbol,volume,rows
2010-06-07,NQM0,334023.0,1368.0
2010-06-08,NQM0,407073.0,1311.0
2010-06-09,NQM0,341195.0,1295.0
2010-06-10,NQM0,177400.0,1228.0
2010-06-11,NQU0,233666.0,1122.0
2010-06-14,NQU0,273995.0,1227.0
2010-06-15,NQU0,300116.0,1164.0
2010-06-16,NQU0,305659.0,1197.0
2010-06-17,NQU0,324355.0,1238.0
2010-06-18,NQU0,243786.0,1127.0
2010-06-21,NQU0,328668.0,1315.0
2010-06-22,NQU0,335481.0,1252.0
2010-06-23,NQU0,321994.0,1225.0
2010-06-24,NQU0,340440.0,1265.0
2010-06-25,NQU0,322049.0,1214.0
2010-06-28,NQU0,282376.0,1252.0
2010-06-29,NQU0,478452.0,1295.0
2010-06-30,NQU0,369318.0,1303.0
2010-07-01,NQU0,505881.0,1327.0
2010-07-02,NQU0,316899.0,1223.0
2010-07-05,NQU0,12845.0,834.0
2010-07-06,NQU0,347228.0,1309.0
2010-07-07,NQU0,304557.0,1280.0
2010-07-08,NQU0,309967.0,1270.0
2010-07-09,NQU0,207050.0,1157.0
2010-07-12,NQU0,240090.0,1200.0
2010-07-13,NQU0,318886.0,1271.0
2010-07-14,NQU0,326981.0,1237.0
2010-07-15,NQU0,368694.0,1260.0
2010-07-16,NQU0,395162.0,1205.0
2010-07-19,NQU0,304281.0,1249.0
2010-07-20,NQU0,358323.0,1320.0
2010-07-21,NQU0,392139.0,1265.0
2010-07-22,NQU0,349401.0,1271.0
2010-07-23,NQU0,325425.0,1184.0
2010-07-26,NQU0,254757.0,1184.0
2010-07-27,NQU0,270215.0,1160.0
2010-07-28,NQU0,254105.0,1171.0
2010-07-29,NQU0,384235.0,1199.0
2010-07-30,NQU0,354464.0,1208.0
2010-08-02,NQU0,245015.0,1248.0
2010-08-03,NQU0,215597.0,1144.0
2010-08-04,NQU0,276433.0,1158.0
2010-08-05,NQU0,223651.0,1116.0
2010-08-06,NQU0,372673.0,1003.0
2010-08-09,NQU0,184557.0,1190.0
2010-08-10,NQU0,345248.0,1155.0
2010-08-11,NQU0,415880.0,1258.0
2010-08-12,NQU0,340795.0,1324.0
2010-08-13,NQU0,238649.0,1185.0
2010-08-16,NQU0,287310.0,1274.0
2010-08-17,NQU0,271889.0,1231.0
2010-08-18,NQU0,298833.0,1234.0
2010-08-19,NQU0,346761.0,1242.0
2010-08-20,NQU0,263002.0,1192.0
2010-08-23,NQU0,275692.0,1279.0
2010-08-24,NQU0,317615.0,1236.0
2010-08-25,NQU0,354763.0,1209.0
2010-08-26,NQU0,324997.0,1172.0
2010-08-27,NQU0,391276.0,1175.0
2010-08-30,NQU0,256313.0,1222.0
2010-08-31,NQU0,362103.0,1192.0
2010-09-01,NQU0,387637.0,1230.0
2010-09-02,NQU0,251150.0,1216.0
2010-09-03,NQU0,305206.0,1098.0
2010-09-06,NQU0,13603.0,729.0
2010-09-07,NQU0,257374.0,1191.0
2010-09-08,NQU0,293740.0,1173.0
2010-09-09,NQU0,182374.0,1158.0
2010-09-10,NQZ0,214242.0,1113.0
2010-09-13,NQZ0,264493.0,1218.0
2010-09-14,NQZ0,319839.0,1158.0
2010-09-15,NQZ0,267097.0,1209.0
2010-09-16,NQZ0,292774.0,1224.0
2010-09-17,NQZ0,300602.0,1202.0
2010-09-20,NQZ0,285225.0,1237.0
2010-09-21,NQZ0,319699.0,1201.0
2010-09-22,NQZ0,335987.0,1252.0
2010-09-23,NQZ0,378545.0,1131.0
2010-09-24,NQZ0,303236.0,1196.0
2010-09-27,NQZ0,234807.0,1227.0
2010-09-28,NQZ0,439811.0,1149.0
2010-09-29,NQZ0,274046.0,1175.0
2010-09-30,NQZ0,445326.0,1171.0
2010-10-01,NQZ0,320177.0,1162.0
2010-10-04,NQZ0,300710.0,1231.0
2010-10-05,NQZ0,351237.0,1225.0
2010-10-06,NQZ0,334118.0,1231.0
2010-10-07,NQZ0,285286.0,1135.0
2010-10-08,NQZ0,312738.0,1106.0
2010-10-11,NQZ0,176267.0,1143.0
2010-10-12,NQZ0,320869.0,1241.0
2010-10-13,NQZ0,295218.0,1218.0
2010-10-14,NQZ0,320553.0,1255.0
2010-10-15,NQZ0,369779.0,1214.0
2010-10-18,NQZ0,284843.0,1284.0
2010-10-19,NQZ0,444537.0,1290.0
2010-10-20,NQZ0,289279.0,1257.0
2010-10-21,NQZ0,328080.0,1260.0
2010-10-22,NQZ0,205345.0,1095.0
2010-10-25,NQZ0,243040.0,1273.0
2010-10-26,NQZ0,255598.0,1210.0
2010-10-27,NQZ0,267353.0,1291.0
2010-10-28,NQZ0,305697.0,1218.0
2010-10-29,NQZ0,231521.0,1185.0
2010-11-01,NQZ0,286935.0,1236.0
2010-11-02,NQZ0,227340.0,1166.0
2010-11-03,NQZ0,349522.0,1218.0
2010-11-04,NQZ0,323771.0,1157.0
2010-11-05,NQZ0,258314.0,1121.0
2010-11-07,NQZ0,3271.0,275.0
2010-11-08,NQZ0,198420.0,922.0
2010-11-09,NQZ0,269035.0,1186.0
2010-11-10,NQZ0,305093.0,1279.0
2010-11-11,NQZ0,309504.0,1280.0
2010-11-12,NQZ0,392459.0,1284.0
2010-11-15,NQZ0,261995.0,1305.0
2010-11-16,NQZ0,407147.0,1314.0
2010-11-17,NQZ0,259255.0,1239.0
2010-11-18,NQZ0,301056.0,1288.0
2010-11-19,NQZ0,214706.0,1258.0
2010-11-22,NQZ0,285202.0,1218.0
2010-11-23,NQZ0,342726.0,1300.0
2010-11-24,NQZ0,266887.0,1204.0
2010-11-25,NQZ0,11039.0,784.0
2010-11-26,NQZ0,101119.0,984.0
2010-11-29,NQZ0,294538.0,1282.0
2010-11-30,NQZ0,320409.0,1277.0
2010-12-01,NQZ0,307656.0,1275.0
2010-12-02,NQZ0,234379.0,1199.0
2010-12-03,NQZ0,181340.0,1120.0
2010-12-06,NQZ0,173332.0,1234.0
2010-12-07,NQZ0,234744.0,1242.0
2010-12-08,NQZ0,184841.0,1254.0
2010-12-09,NQZ0,103252.0,1230.0
2010-12-10,NQH1,145664.0,1107.0
2010-12-13,NQH1,186192.0,1153.0
2010-12-14,NQH1,198241.0,1158.0
2010-12-15,NQH1,254960.0,1181.0
2010-12-16,NQH1,202004.0,1175.0
2010-12-17,NQH1,154423.0,1096.0
2010-12-20,NQH1,172525.0,1175.0
2010-12-21,NQH1,104770.0,1097.0
2010-12-22,NQH1,88105.0,1053.0
2010-12-23,NQH1,87700.0,960.0
2010-12-27,NQH1,139922.0,1079.0
2010-12-28,NQH1,80245.0,992.0
2010-12-29,NQH1,65124.0,988.0
2010-12-30,NQH1,85908.0,1045.0
2010-12-31,NQH1,99447.0,824.0
2011-01-03,NQH1,277153.0,1168.0
2011-01-04,NQH1,216337.0,1136.0
2011-01-05,NQH1,212838.0,1168.0
2011-01-06,NQH1,177593.0,1139.0
2011-01-07,NQH1,278631.0,1103.0
